,name,title,content,date
0,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,*시드시모네,맛있고 변도잘봐요!,2023-11-22
1,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상 잘 먹고 있어요,항상 잘 먹고 있어요 감사합니다,2023-11-20
2,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,정착템이에요,맛도 최고고 **도 최고에요,2023-11-20
3,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,최애유산균,엄마도 아기도 최애유산균이에요,2023-11-20
4,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,너무 좋아요,오래 먹어서 다른 제품 먹여볼까 하다가도 아기 응가보면 상태가 너무 좋네요,2023-11-20
5,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상 잘먹어요,아기가 너무 잘먹어요,2023-11-20
6,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,꾸준히,아기가 꾸준히 먹고있어요,2023-11-20
7,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,어릴때부터꾸준히먹여요,아가때부터 초 1된 지금까지도계속 꾸준히 먹여서장건강이 좋은편인것 같아요ㅋ맛에도 크게 거부감 없어해서 잘먹으니까 아예 또박배송으로정기결제해서 주문해서 먹여요시중가보다 훨씬 저렴한가격으로구매할수 있어서 너무 좋습니다~^^,2023-11-01
8,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,드시모네 짱~,드시모네 먹고부터 아이가 ** *출했어요,2023-10-23
9,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,또박배송,또박배송으로 잘 먹고 있어요,2023-10-17
10,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,계속구매,계속구매중이예요 안먹음불안함,2023-10-11
11,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,매번먹어요,유산균 먹은날 안먹은 날 변이 달라요. 또박배송으로 계속먹고있어요,2023-10-04
12,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋아요,아가때부터 먹었던 유산균 좋아요,2023-09-14
13,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,과대포장,또박배송으로 유산균 받아보고있습니다. 그런데 매번 배송 받을 때마다 과대포장이 너무 심하다는 생각이 듭니다. 제품의 크기에 맞는 아이스박스는 없는걸까요? 아이스박스를 또 감싸는 종이박스까지... 과대포장이 너무 심해요. 이 부분은 **돼면 좋겠어요.,2023-08-31
14,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,[또박배송] 드시모네 키즈스텝1,물에 잘 타지고 아이가 좋아해요..,2023-08-21
15,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,애기한테 안맞는지 **가 너무 심해요,유산균이 안맞는지 아기 **가 정말 심해서 중지하고싶은데 그럴수도 없고 불편해서 *정된 기간 이후에는 바로 중지할예정입니다,2023-08-20
16,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,하루를 시작하는 유산균,우리 아이의 하루 시작을 알리는 유산균 입니다. 블루베리향은 실패없습니다.,2023-08-16
17,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,굳 맛있다고 합니다,아이들이 잘먹어요~~~ 다른거는 억지로 먹는데 여기꺼는 스스로 잘먹네요~~,2023-08-15
18,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋아요,꾸문히 잘이용하고있습니다,2023-08-07
19,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋아요,꾸준히 잘 이용하고있습니다,2023-08-07
20,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,유산균좋아요,일년넘게 먹고 있어요.이젠 ***출이랍니다.,2023-07-25
21,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,드시모네 좋아요,매달 또박배송으로 받아먹는데 이것만한 유산균이 없어요~맛도 있고 건강도 챙기고!,2023-07-14
22,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘먹일게요,아이 유산균 필요해서 구매했어요후기가 좋아서 기대됩니다**가 있었으면 좋겠어요^^,2023-07-04
23,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,매번 먹는 드시모네,또박케어로 챙겨 먹이는 드시모네 유산균 추천합니다.,2023-06-26
24,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,매번 먹는 드시모네,또박케어로 매번 챙겨 먹이는 유산균 추천합니다.,2023-06-26
25,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,매버누먹는 유산균,정말 믿고 먹는 드시모네 입니다. 추천합니다.,2023-06-26
26,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,드시모네,이만한 유산균이 없는것같아요 만족스럽습니다,2023-06-22
